"customers","total_orders","total_return","cx_category"
"Felix Davis","7","0","New"
"Felix Green","2","0","New"
"Daniel Green","112","112","Returning_customers"
"Rachel Turner","11","0","New"
"Yvonne Turner","195","0","New"
"Daniel Hughes","5","0","New"
"Ulysses Scott","2","0","New"
"Erin Brown","5","0","New"
"Jake Cole","105","105","Returning_customers"
"Grace Davis","15","0","New"
"Henry Reed","103","0","New"
"Jack Hughes","86","0","New"
"Gina Reed","225","0","New"
"Isla Turner","78","78","Returning_customers"
"Liam Davis","21","0","New"
"Emma Green","7","0","New"
"Alicia Reed","10","0","New"
"Patrick Reed","95","0","New"
"William Smith","108","108","Returning_customers"
"Carla Johnson","80","0","New"
"Tina Evans","3","0","New"
"Rachel Lewis","3","0","New"
"Isabella Davis","300","0","New"
"Tina Martin","4","0","New"
"Mia Scott","95","0","New"
"Liam Brown","12","0","New"
"Isla Smith","8","0","New"
"Chloe Smith","112","0","New"
"Kayla Stewart","90","90","Returning_customers"
"Gina Davis","382","0","New"
"Yvonne Clark","108","0","New"
"Derek Walker","3","0","New"
"Frank Rivera","95","0","New"
"Leo Ramirez","101","101","Returning_customers"
"Xena Reed","6","0","New"
"Victor Davis","9","0","New"
"Ulysses Parker","11","0","New"
"Noah Murphy","87","87","Returning_customers"
"Quinn Reed","198","0","New"
"Wendy Davis","187","0","New"
"Abigail Wilson","6","0","New"
"Erin Stewart","2","0","New"
"Kayla Green","12","0","New"
"Gina Hill","91","91","Returning_customers"
"Karen Davis","3","0","New"
"Emma Brown","8","0","New"
"Jake Miller","93","93","Returning_customers"
"Daniel Johnson","96","0","New"
"Noah Davis","8","0","New"
"Benjamin Wilson","3","0","New"
"Olivia Clark","72","0","New"
"Emma Phillips","2","0","New"
"Zackary Turner","6","0","New"
"Zackary Davis","199","85","Returning_customers"
"Amelia Hill","3","0","New"
"Gina Smith","105","0","New"
"Samuel Reed","216","0","New"
"Karen King","3","0","New"
"Emma Johnson","6","0","New"
"Quinn Turner","10","0","New"
"Brian Smith","106","0","New"
"William Davis","4","0","New"
"Chloe Davis","7","0","New"
"Isabella Reed","277","0","New"
"Liam Turner","3","0","New"
"Rachel Smith","6","0","New"
"Daniel Young","9","0","New"
"Steve Green","2","0","New"
"Fred Martin","2","0","New"
"Victoria Scott","2","0","New"
"Monica King","7","0","New"
"Isla Reed","92","65","Returning_customers"
"Felix Reed","3","0","New"
"Derek Smith","5","0","New"
"Wanda Green","10","0","New"
"Wendy Turner","82","0","New"
"Chloe Cooper","5","0","New"
"Ursula Reed","181","0","New"
"Paul Davis","2","0","New"
"Noah Clark","6","0","New"
"Brian Wright","100","0","New"
"Yvonne Reed","111","0","New"
"Isabella Green","94","0","New"
"William Phillips","6","0","New"
"Fred Reed","5","0","New"
"Felix Brown","3","0","New"
"Olivia Bennett","3","0","New"
"Liam Johnson","4","0","New"
"Kayla Turner","5","0","New"
"Noah Turner","12","0","New"
"Quinn Green","99","0","New"
"Victor Turner","4","0","New"
"Peter Peterson","4","0","New"
"Leo Adams","114","114","Returning_customers"
"Brian White","6","0","New"
"Brian Brown","3","0","New"
"Chloe Adams","101","101","Returning_customers"
"Rachel Green","106","0","New"
"Kayla Morris","102","102","Returning_customers"
"Wendy Reed","387","0","New"
"Leo Torres","94","0","New"
"Erin Davis","6","0","New"
"Emma Turner","9","0","New"
"Carla Reed","87","0","New"
"Henry Scott","9","0","New"
"Samuel Brown","2","0","New"
"Zachary Davis","3","0","New"
"Liam Rogers","3","0","New"
"Benjamin Smith","3","0","New"
"Jack Parker","1","0","New"
"Karen Young","3","0","New"
"Tina Johnson","2","0","New"
"Ivy Green","6","0","New"
"Henry Green","3","0","New"
"Noah Watson","3","0","New"
"Xena Brown","91","91","Returning_customers"
"Paul Martinez","5","0","New"
"Fred Harris","5","0","New"
"Kayla Lee","4","0","New"
"William Reed","4","0","New"
"Carla Green","173","0","New"
"Mia Rivera","3","0","New"
"Jake Brown","5","0","New"
"Ulysses Morris","3","0","New"
"Monica Brown","4","0","New"
"Ivy Scott","4","0","New"
"Iris Taylor","6","0","New"
"Mia Cooper","77","0","New"
"Noah Smith","4","0","New"
"Benjamin Turner","8","0","New"
"Liam Hughes","4","0","New"
"Olivia Scott","206","0","New"
"Benjamin Davis","95","89","Returning_customers"
