"state","customers","total_orders","total_sale","rank"
"California","Yvonne Turner","19","18058.570000000003","1"
"California","Kayla Reed","17","7119.7300000000005","2"
"California","Monica Scott","15","10375.779999999995","3"
"California","Quinn Green","15","11140.729999999996","3"
"California","Iris Turner","14","10550.749999999998","4"
"California","Olivia Turner","14","9419.739999999996","4"
"California","Kayla Green","12","2711.7699999999995","5"
"Colorado","Brian White","6","3930.83","1"
"Colorado","Samuel Adams","4","2209.9599999999996","2"
"Colorado","David Wilson","4","2909.9299999999994","2"
"Colorado","Victor Adams","4","4749.91","2"
"Colorado","Yvonne Turner","2","2799.9700000000003","3"
"Connecticut","Zachary Murphy","6","5079.87","1"
"Connecticut","Emily Clark","3","599.94","2"
"Connecticut","Cynthia Bell","3","2279.9700000000003","2"
"Connecticut","Wanda Martin","3","408.92999999999995","2"
"Connecticut","Tara Smith","3","764.94","2"
"Delaware","Xavier Green","7","9099.859999999999","1"
"Delaware","Derek Robinson","5","934.9200000000001","2"
"Delaware","Ursula Davis","4","4239.929999999999","3"
"Delaware","Amelia Hill","3","949.97","4"
"Florida","Grace Martinez","4","842.9300000000001","1"
"Florida","Erin Stewart","2","1319.98","2"
"Florida","Brian Davis","2","1059.97","2"
"Florida","Victor Reed","2","649.97","2"
"Florida","Yvonne Smith","1","44.97","3"
"Georgia","Fred Harris","5","1987.92","1"
"Georgia","Zachary Wilson","5","5079.949999999999","1"
"Georgia","Henry Walker","4","839.9200000000001","2"
"Georgia","Cynthia Wilson","3","1699.97","3"
"Georgia","Wanda Green","3","8519.96","3"
"Hawaii","Amelia Green","8","7699.819999999998","1"
"Hawaii","Xavier Davis","5","2978.92","2"
"Hawaii","Derek Taylor","4","1352.94","3"
"Hawaii","Ivy Hall","3","384.95000000000005","4"
"Hawaii","Grace Scott","2","72.97","5"
"Idaho","Erin Brown","5","1214.91","1"
"Idaho","Hugo Edwards","2","1439.97","2"
"Idaho","Yvonne Reed","2","499.98","2"
"Idaho","Jack Allen","2","409.95000000000005","2"
"Illinois","Zachary Scott","5","6071.84","1"
"Illinois","Ivy James","4","1275.8899999999999","2"
"Illinois","Cynthia Reed","4","5696.88","2"
"Illinois","Karen Young","3","289.95","3"
"Illinois","Fred Martin","2","259.95","4"
"Indiana","Grace King","5","2289.91","1"
